ApplNo,ProductNo,Form,Strength,ReferenceDrug,DrugName,ActiveIngredient,ReferenceStandard
4,4,SOLUTION/DROPS;OPHTHALMIC,1%,0,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE,0.0
159,1,TABLET;ORAL,500MG,0,SULFAPYRIDINE,SULFAPYRIDINE,0.0
552,1,INJECTABLE;INJECTION,"20,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0.0
552,2,INJECTABLE;INJECTION,"40,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0.0
552,3,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0.0
552,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0.0
552,5,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,LIQUAEMIN SODIUM,HEPARIN SODIUM,0.0
552,7,INJECTABLE;INJECTION,100 UNITS/ML,0,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM,0.0
552,8,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
552,9,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
552,10,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,HEPARIN SODIUM,HEPARIN SODIUM,0.0
552,11,INJECTABLE;INJECTION,"1,000 UNITS/ML",0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0.0
552,12,INJECTABLE;INJECTION,"5,000 UNITS/ML",0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0.0
552,13,INJECTABLE;INJECTION,"10,000 UNITS/ML",0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,0.0
734,1,INJECTABLE;INJECTION,EQ 1MG BASE/ML,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,0.0
734,2,INJECTABLE;INJECTION,EQ 0.2MG BASE/ML,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,0.0
734,3,INJECTABLE;INJECTION,EQ 0.1MG BASE/ML,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE,0.0
793,2,TABLET;ORAL,15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,BUTISOL SODIUM,BUTABARBITAL SODIUM,0.0
793,3,TABLET;ORAL,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,BUTISOL SODIUM,BUTABARBITAL SODIUM,0.0
793,4,TABLET;ORAL,30MG,1,BUTISOL SODIUM,BUTABARBITAL SODIUM,0.0
793,5,TABLET;ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,0,BUTISOL SODIUM,BUTABARBITAL SODIUM,0.0
1104,1,INJECTABLE;INJECTION,5MG/ML,0,DOCA,DESOXYCORTICOSTERONE ACETATE,0.0
1504,1,UNKNOWN,UNKNOWN,0,VERARD,VERARD,0.0
1546,1,TABLET;ORAL,125MG,0,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE,0.0
