ProductID,smiles
0,CCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Na+]
1,C1C[C@H](N(C1)C(=O)[C@@H]2CSSC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N.C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O
2,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
3,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
4,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])[C@@H]1CCC2=O.[Na+]
5,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])[C@@H]1CCC2=O.[Na+]
6,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])[C@@H]1CCC2=O.[Na+]
7,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])[C@@H]1CCC2=O.[Na+]
8,C[C@]12CC[C@H]3C(=CCC4=C3C=CC(=C4)OS(=O)(=O)[O-])[C@@H]1CCC2=O.[Na+]
9,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl
10,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl
11,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C.[Br-]
11,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
12,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C.[Br-]
12,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
13,C[C@@H](CC1=CC=CC=C1)NC.Cl
14,CC1(C(=O)N(C(=O)O1)C)C
15,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
16,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O
17,C(C(CS)S)O
18,CC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)N.[Na+]
19,CC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)N.[Na+]
20,CC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)N.[Na+]
21,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
22,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]
23,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O
24,CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
25,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)O)\C(=O)O
26,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)O)\C(=O)O
27,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl
28,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl
29,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl
30,CCCC1=CC(=O)NC(=S)N1
32,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
33,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
33,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
34,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
34,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
35,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
35,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
36,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
37,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
38,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
39,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
39,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
40,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
40,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
41,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
41,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
42,CNC[C@@H](C1=CC(=C(C=C1)O)O)O
42,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
43,C1=CC(=CC=C1N)S(=O)(=O)N
44,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
45,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
46,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
47,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
48,CC(C[N+](C)(C)C)OC(=O)N.[Cl-]
49,CN(CCCl)CCCl.Cl
50,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl
51,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl
52,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
53,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]
54,CCCCCCCCCCCCCCCC(=O)OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(CCCC1(C)C)C
55,CCN(C1=CC=CC=C1C)C(=O)/C=C/C
56,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
57,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
58,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
59,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
60,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
61,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
62,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N.Cl
63,CC(=O)OC1=CC=CC=C1C(=O)O
63,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.Cl
64,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
65,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
66,C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O
67,CN1C=CNC1=S
68,CN1C=CNC1=S
69,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
70,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O
71,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O
72,C1=CC=C(C=C1)CC(=O)NC(=O)N
73,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O
74,CCN(CC)C(=S)SSC(=S)N(CC)CC
75,CCN(CC)C(=S)SSC(=S)N(CC)CC
76,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
77,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl
78,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl
79,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl
80,S=[Se]
81,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]
82,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]
83,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl
84,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
85,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
86,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2]
87,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2]
